symbol,name
TCS,"Tata Consultancy Services Limited"
HDFCBANK,"HDFC Bank Limited"
ICICIBANK,"ICICI Bank Limited"
RELIANCE,"Reliance Industries Limited"
INFY,"Infosys Limited"
BHARTIARTL,"Bharti Airtel Limited"
ETERNAL,"Eternal Limited"
SBIN,"State Bank of India"
HCLTECH,"HCL Technologies Limited"
LT,"Larsen & Toubro Limited"
BAJAJ-AUTO,"Bajaj Auto Limited"
HINDALCO,"Hindalco Industries Limited"
AXISBANK,"Axis Bank Limited"
INDIGO,"InterGlobe Aviation Limited"
M&M,"Mahindra & Mahindra Limited"
SHRIRAMFIN,"Shriram Finance Limited"
BAJFINANCE,"Bajaj Finance Limited"
ADANIENT,"Adani Enterprises Limited"
KOTAKBANK,"Kotak Mahindra Bank Limited"
HINDUNILVR,"Hindustan Unilever Limited"
SUNPHARMA,"Sun Pharmaceutical Industries Limited"
MARUTI,"Maruti Suzuki India Limited"
ULTRACEMCO,"UltraTech Cement Limited"
TATASTEEL,"Tata Steel Limited"
BEL,"Bharat Electronics Limited"
ITC,"ITC Limited"
ONGC,"Oil and Natural Gas Corporation Limited"
HDFCLIFE,"HDFC Life Insurance Company Limited"
APOLLOHOSP,"Apollo Hospitals Enterprise Limited"
BAJAJFINSV,"Bajaj Finserv Ltd."
EICHERMOT,"Eicher Motors Limited"
GRASIM,"Grasim Industries Limited"
TECHM,"Tech Mahindra Limited"
NTPC,"NTPC Limited"
ADANIPORTS,"Adani Ports and Special Economic Zone Limited"
TITAN,"Titan Company Limited"
TMPV,"Tata Motors Passenger Vehicles Limited"
COALINDIA,"Coal India Limited"
NESTLEIND,"Nestlé India Limited"
WIPRO,"Wipro Limited"
ASIANPAINT,"Asian Paints Limited"
DRREDDY,"Dr. Reddy's Laboratories Limited"
MAXHEALTH,"Max Healthcare Institute Limited"
JIOFIN,"Jio Financial Services Limited"
TRENT,"Trent Limited"
POWERGRID,"Power Grid Corporation of India Limited"
SBILIFE,"SBI Life Insurance Company Limited"
CIPLA,"Cipla Limited"
TATACONSUM,"Tata Consumer Products Limited"
JSWSTEEL,"JSW Steel Limited"
